page,meta_title,meta_description
"adatkezelesi-tajekoztato.html","Adatkezelési tájékoztató - Sugallat Kft.",
"arak.html","Sugallat | Áraink - Közbeszerzési Szolgáltatások","Tekintse meg szolgáltatásaink árait: közbeszerzési tanácsadás, pályázatírás, jogorvoslat, műszaki ellenőrzés. Korrekt díjak, személyre szabható költségek."
"bemutatkozas.html","Rólunk - Sugallat Kft.","Ismerje meg a Sugallat Kft. csapatát és történetét. 1996 óta szakmai szolgáltatásokat nyújtunk közbeszerzés, projektmenedzsment és környezetvédelem területén."
"blog.html","Blog - Sugallat Kft.","Sugallat Kft. blog - szakmai cikkek, hírek és tippek közbeszerzés, projektmenedzsment és környezetvédelem területén"
"cookie-policy.html","",
"hasznos-linkek.html","Sugallat | Hasznos linkek","Hasznos linkek közbeszerzés, pályázatok és fejlesztési programok területén."
"index.html","Sugallat | Közbeszerzési Tanácsadás 1996 Óta","A Sugallat 30+ éve megbízható partner a közbeszerzésben: akkreditált közbeszerzési tanácsadóként teljes körű eljárás-lebonyolítással segítjük ügyfeleink sikerét."
"kapcsolat.html","Sugallat | Kapcsolat és Elérhetőségek","Kapcsolatfelvétel a Sugallat Kft.-vel. Benkó István Zsolt igazgató bemutatása, elérhetőségek és irodai információk."
"referenciak.html","Sugallat | Projektek és Ügyfelek","Sugallat Kft. referenciái - 30+ év tapasztalat, 250+ sikeres projekt közbeszerzés, projektmenedzsment és műszaki tervezés területén"
"sitemap.html","Sugallat | Oldaltérkép","Sugallat Kft. oldaltérképe - navigáljon könnyedén a weboldalunkon található összes oldal között."
"content/Ajánlatkérőknek.html","",
"content/Ajánlattevőknek.html","",
"content/Arak.html","",
"content/homepage.html","",
"export/arak.html","Áraink - Sugallat Kft.",
"export/kozbeszerzes-ajanlatkeroknek.html","Közbeszerzési Tanácsadás Ajánlatkérőknek - Sugallat Kft.",
"export/kozbeszerzes-ajanlattevoknek.html","Közbeszerzési tanácsadás ajánlattevőknek - Sugallat Kft.",
"export/tevekenysegeink.html","Szolgáltatásaink - Sugallat Kft.",
"partials/footer.html",,
"partials/header-en.html",,
"partials/header-hu.html",,
"tevekenysegeink/index.html","Sugallat | Tanácsadás és Szolgáltatásaink","Sugallat Kft. szolgáltatásai: közbeszerzés, jogorvoslat, projektmenedzsment, műszaki tervezés és pályázatírás."
"pages/en/blog.html","Blog - Sugallat Kft.","Sugallat Kft. blog - professional articles, news and tips in public procurement, project management and environmental protection"
"pages/en/contact.html","Contact - Sugallat Ltd.","Get in touch with Sugallat Ltd. Meet Benkó István Zsolt, our director, and find our contact information and office details."
"pages/en/index.html","Sugallat Kft. - Professional Services","Sugallat Kft. - Public procurement, project management, technical design and environmental management professional services"
"pages/en/sitemap.html","Sitemap - Sugallat Kft.","Sugallat Kft. sitemap - easily navigate all pages available on our website."
"tevekenysegeink/jogorvoslat/index.html","Sugallat | Jogorvoslat és vitarendezés - Közbeszerzési tanácsadás","Jogorvoslati és vitarendezési eljárások támogatása közbeszerzésben. Dokumentum-előkészítés, szakértői tanácsadás és stratégiai segítség."
"tevekenysegeink/kozbeszerzes-ajanlatkeroknek/index.html","Sugallat | Közbeszerzési Eljárás Lebonyolítása - Ajánlatkérőknek","Teljes körű közbeszerzési tanácsadás ajánlatkérőknek az alapoktól a szerződéskötésig. Professzionális, hatékony eljáráslebonyolítás 30 éve."
"tevekenysegeink/kozbeszerzes-ajanlattevoknek/index.html","Sugallat | Közbeszerzési eljárás - Tanácsadás ajánlattevőknek","Szakértő közbeszerzési tanácsadás ajánlattevőknek a felkészüléstől a sikeres pályázatig. Szabályos és versenyképes ajánlatok 30 év tapasztalattal."
"tevekenysegeink/muszaki-tervezes/index.html","Sugallat | Műszaki tervezés","Magasépítési műszaki tervezés: engedélyezési, kiviteli és tendertervek készítése, műszaki ellenőrzés, beruházó-képviselet."
"tevekenysegeink/palyazatiras/index.html","Sugallat | Pályázatírás és Projekt-előkészítés","Pályázatírás szakértőktől 1996 óta. Teljes körű pályázatírás és projekt-előkészítés KKV-knak és intézményeknek. Támogatási kérelmek, költségvetés, benyújtás."
