Section,Element,Content
Meta,Title,Sugallat Kft. - Szakmai szolgáltatások
Meta,Description,Sugallat Kft. - Közbeszerzés, projektmenedzsment, műszaki tervezés és környezetgazdálkodás szakmai szolgáltatásai
Hero,Main Title,Teljes körű projektmenedzsment és tanácsadás
Hero,Subtitle,Közbeszerzés, pályázatírás, műszaki tervezés és környezetgazdálkodás megbízható minőséggen
Hero,Glass Card Title,Miért válasszon minket?
Hero,Glass Card Item 1,Szakértő csapat
Hero,Glass Card Item 2,Megbízható szolgáltatás
Hero,Glass Card Item 3,Versenyképes árak
Hero,Glass Card Item 4,25+ év tapasztalat
Services,Section Title,Szolgáltatásaink
Services,Section Subtitle,Széleskörű szakmai támogatást nyújtunk minden ügyfelünknek
Services,Card 1 Title,Közbeszerzés
Services,Card 1 Description,2015. évi CXLIII. törvény szerinti közbeszerzési eljárások, PRAG FIDIC szabályok, EU-s pályázatok kezelése
Services,Card 2 Title,Projektmenedzsment
Services,Card 2 Description,Szakmai és pénzügyi menedzsment, előrehaladási jelentések készítése, projekt koordináció
Services,Card 3 Title,Műszaki tervezés
Services,Card 3 Description,Magasépítési műszaki tervezés, műszaki ellenőrzés, engedélyeztetés, kivitelezési tervek
Services,Card 4 Title,Környezetgazdálkodás
Services,Card 4 Description,Környezetgazdálkodási tanácsadás, környezetvédelmi felülvizsgálat, kapcsolódó tevékenységek
Values,Section Title,Miért válassza a Sugallatot?
Values,Section Subtitle,Négy fontos ok, amiért érdemes velünk dolgozni
Values,Card 1 Title,Minőségbiztosítás
Values,Card 1 Description,ISO 9001:2001 szabvány szerinti minőségbiztosítási rendszerünk biztosítja a legmagasabb színvonalú szolgáltatást
Values,Card 2 Title,Tapasztalat
Values,Card 2 Description,1996 óta folyamatosan fejlesztjük szakmai tudásunkat és több mint 25 éves tapasztalattal állunk rendelkezésre
Values,Card 3 Title,Megbízhatóság
Values,Card 3 Description,Megrendelőink bizalma a legfontosabb számunkra, ezért minden projektet a legnagyobb gondossággal kezelünk
Values,Card 4 Title,Szakmai tagság
Values,Card 4 Description,A Sugallat Kft. és munkatársai szerepelnek a hivatalos közbeszerzési tanácsadói névjegyzékben
Clients,Section Title,Ügyfeleink
Clients,Section Subtitle,Büszkén dolgozunk együtt vezető szervezetekkel és vállalatokkal
CTA,Title,Kérjen árajánlatot
CTA,Description,Vegye fel velünk a kapcsolatot, és beszéljük meg, hogyan tudjuk legjobban támogatni projektjét.
Detailed Services,Slide 1 Title,Közbeszerzés
Detailed Services,Slide 1 Content,Közbeszerzési eljárásokkal kapcsolatos dokumentumok elkészítése a Kbt. követelményeinek megfelelően. Ajánlatkérők részére a közbeszerzési dokumentáció elkészítése, az eljárás gondozása az elfogadásig, műszaki leírás véglegesítése, válaszolás az ajánlattevők kérdéseire. Ajánlattevők részére ajánlatok összeállítása és ellenőrzése. Kivitelezők, szállítók részére szerződések átvizsgálása és követelések kezelése.
Detailed Services,Slide 2 Title,Pályázatírás és projektmenedzsment
Detailed Services,Slide 2 Content,Magyar illetve európai uniós finanszírozású pályázatok megírása, összeállítása vagy ellenőrzése. A nyertes projekt lebonyolításának egy vagy több fázisa: szakmai/pénzügyi menedzsment, projektjelentések elkészítése, kapcsolattartás a támogató szervezettel. Kivételes esetben vállalunk pályázatkészítést, ha a feladat komplexitása vagy speciális körülmény indokolja.
Detailed Services,Slide 3 Title,Műszaki tervezés és ellenőrzés
Detailed Services,Slide 3 Content,Épületek engedélyezési, kiviteli és tenderterveinek elkészítése, valamint a beruházás megvalósulása során a beruházói képviselet, a műszaki ellenőrzés, az úgynevezett független Mérnök feladatainak ellátása. Magasépítési műszaki tervezés teljes körű szolgáltatásokkal az engedélyezéstől a kivitelezésig.
Detailed Services,Slide 4 Title,Környezetvédelmi beruházások
Detailed Services,Slide 4 Content,Környezetvédelmi beruházások előkészítése és bonyolítása, környezeti hatástanulmány készítése, környezetvédelmi felülvizsgálatok végzése az arra kötelezettek részére. Teljes körű környezetgazdálkodási tanácsadás és szakmai támogatás a jogszabályi megfelelés biztosítása érdekében.
Blog Preview,Section Title,Legújabb cikkeink
Blog Preview,Section Subtitle,Szakmai hírek, tippek és hasznos információk közbeszerzés, projektmenedzsment és környezetvédelem területén
