Section,Element,Content
Meta,Title,Szolgáltatásaink - Sugallat Kft.
Meta,Description,Sugallat Kft. szolgáltatásai: közbeszerzés, projektmenedzsment, műszaki tervezés és környezetgazdálkodás területén 25+ éves tapasztalattal.
Hero,Title,Szolgáltatásaink
Hero,Description,Széleskörű szakmai támogatást nyújtunk minden ügyfelünknek a közbeszerzés, projektmenedzsment, műszaki tervezés és környezetgazdálkodás területén
Service 1,Title,Közbeszerzés
Service 1,Subtitle,Ajánlatkérők és ajánlattevők részére is
Service 1,Description,A közbeszerzési eljárással kapcsolatos dokumentumok elkészítése a Kbt. követelményeinek megfelelően. Teljes körű támogatást nyújtunk mindkét fél számára a közbeszerzési folyamat minden szakaszában.
Service 1,Group 1 Title,Ajánlatkérők részére
Service 1,Group 1 Item 1,Eseti közbeszerzési szabályzat
Service 1,Group 1 Item 2,Műszaki leírás
Service 1,Group 1 Item 3,Ajánlattevők listája
Service 1,Group 1 Item 4,Ajánlati felhívás és mellékletei
Service 1,Group 1 Item 5,Értékelési jegyzőkönyvek összegzése
Service 1,Group 1 Item 6,Szerződés
Service 1,Group 2 Title,Ajánlattevők részére
Service 1,Group 2 Item 1,Ajánlat összeállítása
Service 1,Group 2 Item 2,Ajánlattevői kérdések, vitarendezési kérelem
Service 1,Group 2 Item 3,Jogorvoslati kérelem összeállítása
Service 1,Group 2 Item 4,Ajánlat ellenőrzése benyújtás előtt
Service 1,Group 3 Title,Kivitelezők, szállítók részére
Service 1,Group 3 Item 1,Szerződés átvizsgálás
Service 1,Group 3 Item 2,Vitatott követelések kezelése
Service 1,Group 3 Item 3,Közvetítés és képviselet
Service 2,Title,Pályázatírás és projektmenedzsment
Service 2,Subtitle,Magyar és EU-s pályázatok kezelése
Service 2,Description,Magyar illetve európai uniós finanszírozási pályázat megírása, összeállítása, vagy ellenőrzése. A nyertes projektek teljes körű menedzselése.
Service 2,Group 1 Title,Pályázatírás
Service 2,Group 1 Item 1,Magyar pályázatok megírása
Service 2,Group 1 Item 2,EU-s pályázatok összeállítása
Service 2,Group 1 Item 3,Pályázatok ellenőrzése
Service 2,Group 1 Item 4,Speciális esetek kezelése
Service 2,Group 2 Title,Projektmenedzsment
Service 2,Group 2 Item 1,Szakmai menedzsment
Service 2,Group 2 Item 2,Pénzügyi menedzsment
Service 2,Group 2 Item 3,Projektjelentések elkészítése
Service 2,Group 2 Item 4,Kapcsolattartás a támogató szervezettel
Service 3,Title,Magasépítési műszaki tervezés
Service 3,Subtitle,Műszaki ellenőrzés és engedélyeztetés
Service 3,Description,Épületek engedélyezési, kiviteli és tenderterveinek elkészítése. Teljes körű műszaki támogatást nyújtunk a beruházások tervezésétől a kivitelezésig.
Service 3,Group 1 Title,Szolgáltatásaink
Service 3,Group 1 Item 1,Épületek engedélyezési terveinek elkészítése
Service 3,Group 1 Item 2,Kiviteli tervek készítése
Service 3,Group 1 Item 3,Tendertervek elkészítése
Service 3,Group 1 Item 4,Beruházó képviselete
Service 3,Group 1 Item 5,Műszaki ellenőrzés
Service 3,Group 1 Item 6,Független Mérnök feladatainak ellátása
CTA,Title,Kérdése van szolgáltatásainkról?
CTA,Description,Vegye fel velünk a kapcsolatot, és beszéljük meg, hogyan tudjuk legjobban támogatni projektjét.
Text Gallery,Slide 1 Title,Közbeszerzések
Text Gallery,Slide 1 Content,A Sugallat Kft. szakértői csapata teljes körű támogatást nyújt közbeszerzések előkészítésében és lebonyolításában, legyen szó ajánlatkérői vagy ajánlattevői oldalról. Szolgáltatásaink között szerepel a dokumentáció összeállítása, az eljárás jogszabályi megfelelőségének biztosítása, valamint a teljes folyamat menedzselése. Tapasztalt szakembereink naprakész tudással és kiemelt figyelemmel gondoskodnak arról, hogy partnereink sikeresen és hatékonyan vehessenek részt a közbeszerzési eljárásokban, minimalizálva a kockázatokat és maximalizálva az eredményeket.
Text Gallery,Slide 2 Title,Pályázatlebonyolítás
Text Gallery,Slide 2 Content,A pályázatlebonyolítás során a Sugallat Kft. célja, hogy ügyfeleink számára egyszerűvé és átláthatóvá tegye a teljes folyamatot a kiírástól a sikeres megvalósításig. Segítünk a pályázatok előkészítésében, a szükséges dokumentumok összeállításában, valamint a teljes adminisztráció kezelésében. Csapatunk gondoskodik a határidők betartásáról és a formai követelmények teljesítéséről, így ügyfeleink nyugodtan fókuszálhatnak a projektjük szakmai tartalmára. Megbízható és precíz munkánkkal biztosítjuk, hogy a pályázati lehetőségek valódi sikert hozzanak partnereink számára.

